"","Astrocytes","Excitatory Neurons","Inhibitory Neurons","Microglia","OPCs","Oligodendrocytes","Vascular Cells"
"0610009B22Rik",0,1,1,0,0,0,0
"0610010K14Rik",0,1,1,0,0,1,0
"0610030E20Rik",2,3,2,1,1,1,1
"0610040J01Rik",1,2,1,1,0,1,0
"1110002E22Rik",0,2,0,0,0,0,0
"1110004F10Rik",4,7,10,2,3,5,3
"1110017D15Rik",1,5,2,0,0,2,0
"1110032A03Rik",6,11,6,2,3,5,3
"1110038F14Rik",4,4,4,2,2,3,2
"1110059E24Rik",2,6,3,1,1,2,1
"1110059G10Rik",2,3,2,2,1,2,2
"1110065P20Rik",1,1,2,1,0,1,0
"1190007I07Rik",3,4,3,1,4,2,1
"1500009L16Rik",0,5,4,0,0,0,1
"1500011B03Rik",1,4,2,0,1,2,1
"1520401A03Rik",1,6,4,0,0,1,0
"1600012H06Rik",0,1,0,0,0,0,0
"1600014C10Rik",0,2,1,1,0,0,0
"1600014C23Rik",1,0,0,0,0,0,0
"1700001C19Rik",0,0,0,2,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0
"1700001J03Rik",1,1,1,0,0,1,1
"1700001L19Rik",0,4,1,0,0,0,0
"1700001O22Rik",2,7,7,1,2,2,1
"1700001P01Rik",0,1,0,0,0,1,0
"1700003E16Rik",0,1,1,0,0,0,0
"1700008O03Rik",2,5,3,0,1,1,0
"1700010I14Rik",1,3,5,1,0,1,0
"1700011L22Rik",0,0,0,0,0,1,0
"1700012B09Rik",1,1,1,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0
"1700016K19Rik",0,1,0,0,0,0,0
"1700017B05Rik",1,3,1,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0
"1700019A02Rik",0,5,1,0,0,0,0
"1700019D03Rik",0,2,1,0,0,0,0
"1700019N19Rik",0,1,0,0,0,0,0
"1700020L13Rik",0,0,0,0,0,1,0
"1700025G04Rik",4,7,6,3,6,6,3
"1700028J19Rik",0,0,0,0,0,0,0
"1700029I15Rik",2,2,2,1,1,2,0
"1700029J07Rik",4,8,5,1,0,3,1
"1700030J22Rik",1,3,2,0,1,2,0
"1700030K09Rik",2,5,4,0,1,2,2
"1700031L13Rik",0,0,0,0,0,0,0
